4l2h64d		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.213		eval_len101-150_acc: 0.0 		lr: 0.001
4l2h64d		 reach max step		 eval_len0-50_acc: 0.4085		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
4l2h256d		 reach max step		 eval_len0-50_acc: 0.3935		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
4l2h256d		 >> early stop 0.8		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.154		eval_len101-150_acc: 0.0 		lr: 0.0001
4l4h16d		 reach max step		 eval_len0-50_acc: 0.7155		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
4l4h16d		 reach max step		 eval_len0-50_acc: 0.1865		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
4l4h64d		 >> early stop 0.5		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.212		eval_len101-150_acc: 0.0 		lr: 0.001
4l4h64d		 reach max step		 eval_len0-50_acc: 0.7765		eval_len51-100_acc: 0.0005		eval_len101-150_acc: 0.0 		lr: 0.0001
4l4h256d		 >> early stop 0.4		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.24		eval_len101-150_acc: 0.0 		lr: 0.001
4l4h256d		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.1405		eval_len101-150_acc: 0.0 		lr: 0.0001
