4l2h16d		 reach max step		 eval_len0-50_acc: 0.002		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
4l2h64d		 >> early stop 0.5		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.051		eval_len101-150_acc: 0.0 		lr: 0.001
4l2h64d		 reach max step		 eval_len0-50_acc: 0.7965		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
4l2h256d		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9295		eval_len101-150_acc: 0.4795 		lr: 0.001
4l2h256d		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.098		eval_len101-150_acc: 0.0 		lr: 0.0001
4l4h16d		 >> reach max step		 eval_len0-50_acc: 0.9985		eval_len51-100_acc: 0.0885		eval_len101-150_acc: 0.0 		lr: 0.001
4l4h16d		 reach max step		 eval_len0-50_acc: 0.0045		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
4l4h64d		 >> early stop 0.7		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.1095		eval_len101-150_acc: 0.0 		lr: 0.001
4l4h64d		 reach max step		 eval_len0-50_acc: 0.921		eval_len51-100_acc: 0.004		eval_len101-150_acc: 0.0 		lr: 0.0001
4l4h256d		 >> reach max step		 eval_len0-50_acc: 0.999		eval_len51-100_acc: 0.978		eval_len101-150_acc: 0.844 		lr: 0.001
4l4h256d		 >> early stop 0.8		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.106		eval_len101-150_acc: 0.0 		lr: 0.0001
