4l2h64d		 reach max step		 eval_len0-50_acc: 0.418		eval_len51-100_acc: 0.005		eval_len101-150_acc: 0.0 		lr: 0.001
4l2h64d		 reach max step		 eval_len0-50_acc: 0.148		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
4l2h256d		 reach max step		 eval_len0-50_acc: 0.1		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
4l2h256d		 reach max step		 eval_len0-50_acc: 0.3925		eval_len51-100_acc: 0.0075		eval_len101-150_acc: 0.0 		lr: 0.0001
4l4h16d		 reach max step		 eval_len0-50_acc: 0.1215		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
4l4h16d		 reach max step		 eval_len0-50_acc: 0.0325		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
4l4h64d		 reach max step		 eval_len0-50_acc: 0.4825		eval_len51-100_acc: 0.0045		eval_len101-150_acc: 0.0 		lr: 0.001
4l4h64d		 reach max step		 eval_len0-50_acc: 0.1545		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
4l4h256d		 reach max step		 eval_len0-50_acc: 0.064		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
4l4h256d		 reach max step		 eval_len0-50_acc: 0.416		eval_len51-100_acc: 0.0055		eval_len101-150_acc: 0.0 		lr: 0.0001
8l8h512d		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
