4l2h64d		 reach max step		 eval_len0-50_acc: 0.3815		eval_len51-100_acc: 0.004		eval_len101-150_acc: 0.0 		lr: 0.001
4l2h64d		 reach max step		 eval_len0-50_acc: 0.122		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
4l2h256d		 reach max step		 eval_len0-50_acc: 0.289		eval_len51-100_acc: 0.004		eval_len101-150_acc: 0.0 		lr: 0.001
4l2h256d		 reach max step		 eval_len0-50_acc: 0.399		eval_len51-100_acc: 0.006		eval_len101-150_acc: 0.0 		lr: 0.0001
4l4h16d		 reach max step		 eval_len0-50_acc: 0.1295		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
4l4h16d		 reach max step		 eval_len0-50_acc: 0.0335		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
4l4h64d		 reach max step		 eval_len0-50_acc: 0.4275		eval_len51-100_acc: 0.006		eval_len101-150_acc: 0.0 		lr: 0.001
4l4h64d		 reach max step		 eval_len0-50_acc: 0.125		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
4l4h256d		 reach max step		 eval_len0-50_acc: 0.511		eval_len51-100_acc: 0.01		eval_len101-150_acc: 0.0 		lr: 0.001
4l4h256d		 reach max step		 eval_len0-50_acc: 0.434		eval_len51-100_acc: 0.003		eval_len101-150_acc: 0.0 		lr: 0.0001
8l8h512d		 reach max step		 eval_len0-50_acc: 0.9695		eval_len51-100_acc: 0.132		eval_len101-150_acc: 0.0 		lr: 0.0001
