4l2h16d		 reach max step		 eval_len0-50_acc: 0.8055		eval_len51-100_acc: 0.675		eval_len101-150_acc: 0.637 		lr: 0.001
4l2h16d		 reach max step		 eval_len0-50_acc: 0.68		eval_len51-100_acc: 0.4645		eval_len101-150_acc: 0.1315 		lr: 0.0001
4l2h64d		 >> early stop 0.5		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.979		eval_len101-150_acc: 0.938 		lr: 0.001
4l2h64d		 reach max step		 eval_len0-50_acc: 0.8245		eval_len51-100_acc: 0.678		eval_len101-150_acc: 0.5875 		lr: 0.0001
4l2h256d		 >> early stop 0.5		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9805		eval_len101-150_acc: 0.961 		lr: 0.001
4l2h256d		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.989		eval_len101-150_acc: 0.962 		lr: 0.0001
4l4h16d		 reach max step		 eval_len0-50_acc: 0.821		eval_len51-100_acc: 0.677		eval_len101-150_acc: 0.6205 		lr: 0.001
4l4h16d		 reach max step		 eval_len0-50_acc: 0.727		eval_len51-100_acc: 0.4165		eval_len101-150_acc: 0.0205 		lr: 0.0001
4l4h64d		 >> early stop 0.7		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.983		eval_len101-150_acc: 0.899 		lr: 0.001
4l4h64d		 reach max step		 eval_len0-50_acc: 0.8225		eval_len51-100_acc: 0.669		eval_len101-150_acc: 0.4855 		lr: 0.0001
4l4h256d		 >> early stop 0.7		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.987		eval_len101-150_acc: 0.969 		lr: 0.001
4l4h256d		 >> early stop 0.5		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9365		eval_len101-150_acc: 0.7775 		lr: 0.0001
