4l2h64d		 reach max step		 eval_len0-50_acc: 0.8025		eval_len51-100_acc: 0.675		eval_len101-150_acc: 0.644 		lr: 0.001
4l2h64d		 reach max step		 eval_len0-50_acc: 0.836		eval_len51-100_acc: 0.6885		eval_len101-150_acc: 0.4315 		lr: 0.0001
4l2h256d		 reach max step		 eval_len0-50_acc: 0.8055		eval_len51-100_acc: 0.671		eval_len101-150_acc: 0.6505 		lr: 0.001
4l2h256d		 reach max step		 eval_len0-50_acc: 0.925		eval_len51-100_acc: 0.153		eval_len101-150_acc: 0.0 		lr: 0.0001
4l4h16d		 reach max step		 eval_len0-50_acc: 0.808		eval_len51-100_acc: 0.658		eval_len101-150_acc: 0.586 		lr: 0.001
4l4h16d		 reach max step		 eval_len0-50_acc: 0.716		eval_len51-100_acc: 0.47		eval_len101-150_acc: 0.104 		lr: 0.0001
4l4h64d		 reach max step		 eval_len0-50_acc: 0.8795		eval_len51-100_acc: 0.7175		eval_len101-150_acc: 0.5625 		lr: 0.001
4l4h64d		 reach max step		 eval_len0-50_acc: 0.8305		eval_len51-100_acc: 0.5165		eval_len101-150_acc: 0.115 		lr: 0.0001
4l4h256d		 reach max step		 eval_len0-50_acc: 0.866		eval_len51-100_acc: 0.623		eval_len101-150_acc: 0.24 		lr: 0.001
4l4h256d		 reach max step		 eval_len0-50_acc: 0.949		eval_len51-100_acc: 0.3845		eval_len101-150_acc: 0.0 		lr: 0.0001
